,clustered_id,clustered,is_product,comments,typo_correction,is_activity
0,0d018de388b4cc3a6916321b4826fe1e5951d4f8,intermediate layers for cardboard boxes,0,,,False
1,9bf988859def75c0b3e44ac6bfc936276ca80207,construction of flues,0,,,False
2,2ef16d7f4f771654beb7754f66a21a589950773e,athlete's diets,0,,,False
3,38053a2c05195b47133be5567f2021ca3c48cad9,3d design,0,,,False
4,b7856d3be483efbc46e6060ee7bfafbd919ca4d5,"machine tools, special",0,,,False
5,0880e466c0b79bd87827edbda915f6faf3b54f7c,feasibility analysis,0,,,False
6,5604cd4a1d01f5d758a9397075b1431ab636f5d6,thermal profiling,0,,,False
7,2ceb9d4a967ef92a644e8cad2ccf33fba0177854,profile grinding machines for woodworking,0,,,False
8,6b3623d71762e9dc28019d64c2282e9295679ade,pipe working transfer lines,0,,,False
9,a12abf8d5dc1e31bfc1af472601890b56d0f908a,printing services,0,,,False
10,738880e294b5595a28cdb776ec89293b5bbcb9a9,wine design,0,,,False
11,655e8664ef99f6b65aefce2a979676f6799b186f,kitchen furniture design studios,0,,,False
12,fd291ea9b81bf6505a40d8e738064e1dd74c74cb,flat products,0,,,False
13,4143818cd30e0d167fe65cb6ef1623c467afe389,long products,0,,,False
14,064fb969349ede1f22a436fb7b1cceb3fce2921a,mim products for medical technology,0,,,False
15,8b22ebe2438fb873e3110df0ef40fec485da62e4,rubber overmoulding machines,0,,,False
16,a76c58d70c88103c3df204ebe0c8afe18c0ee7d8,blasting technology,0,,,False
17,3f3b5a7cf65a180f1f70c67f54ff26039d51e831,citrus treatment,0,,,False
18,a4b9e2e678f64575012ab7a6357edf0898bd2d3c,property valuers commercial,0,,,False
19,c14c0a6831a1abecc45799de239e28ccd231173a,ultrasonic soldering iron,0,,,False
20,17e53097a64c0de71f4854bbc7f0f7f92726a201,coach rental,0,,,False
21,b3a633fcc2d19d9d224525a30baebe1e89190c42,"foods, precooked",0,,,False
22,18ebb5a8c71ad6baadf5e2180f573100007bbbb6,"clothes, children's",0,,,False
23,00b1e4f56e7d6a4177e8239cf75c4b5776e34661,clothes,0,,,False
24,9cd55fdf9ed49781bc30801e405e630441897e1d,precision machine shops,0,,,False
25,14e833557d06a77a35a73e93cc9fe9606e84c4cf,hotel,0,,,False
26,3f885d4949a52307ef8dd912e8b5b4f953465652,hi-fi system,0,,,False
27,8ecd9c4121ad4a7121f2d5e4e54d95f33db5f144,industrial piping,0,,,False
